trial 	#th 	32768 	65536 	131072
1	12		1.740643e+02	6.822243e+02	
2	12		1.793585e+02	6.814733e+02	
3	12		1.776227e+02	6.832984e+02	
4	12		1.773693e+02	7.105615e+02	
5	12		1.866459e+02	7.169335e+02	
6	12		1.857996e+02	7.134920e+02	
7	12		1.838158e+02	7.151394e+02	
8	12		1.819736e+02	7.100369e+02	
9	12		1.850146e+02	7.100354e+02	
10	12		1.865801e+02	7.151836e+02	

